nama_tempat_wisata,kategori,preferensi,kecamatan,kabupaten_kota,rating,jumlah_rating,link,latitude,longitude,link_gambar
Wisata Edukasi TK SD di Bogor,Budaya,Wisata Budaya & Edukasi,Babakan Madang,Kabupaten Bogor,4.9,1615.0,https://www.google.com/maps/place/Wisata+Edukasi+TK+SD+di+Bogor/data=!4m7!3m6!1s0x2e69c6eb1a26803b:0xf7a84ee1b7a1f68b!8m2!3d-6.5757239!4d106.8403557!16s%2Fg%2F11bymykydq!19sChIJO4AmGuvGaS4Ri_aht-FOqPc?authuser=0&hl=id&rclk=1,-6.5757239,106.8403557,https://lh3.googleusercontent.com/p/AF1QipP9OlKkUehCybvCvdocQzKWfqmj-H5TVeSdoEqD=w1200-h800
Curug Cibaliung Jonggol,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,749.0,https://www.google.com/maps/place/Curug+Cibaliung+Jonggol/data=!4m7!3m6!1s0x2e69b94322f96831:0x48527ed203b300f5!8m2!3d-6.5995973!4d106.9585682!16s%2Fg%2F11hntppw70!19sChIJMWj5IkO5aS4R9QCzA9J-Ukg?authuser=0&hl=id&rclk=1,-6.5995973,106.9585682,https://lh3.googleusercontent.com/p/AF1QipOvrJ0QEJ7kBkNu6S_SdNGcmTCOiNs_LWlgb3PM=w1200-h800
Wisata Bukit Domba,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,476.0,https://www.google.com/maps/place/Wisata+Bukit+Domba/data=!4m7!3m6!1s0x2e69c9004a61e28f:0xcb6829b09c739e1d!8m2!3d-6.6248368!4d106.9063456!16s%2Fg%2F11y66960h1!19sChIJj-JhSgDJaS4RHZ5znLApaMs?authuser=0&hl=id&rclk=1,-6.6248368,106.9063456,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz0lrxue9Qo3CNUVpLJcvEqwtdMq-BipQK5w1Oo0-Uzs3bREYufkGe955hkInNQ_z5yyBAVREsgl9Offm7V-Oel-voan3yHvayeT8JP7Az2OG9Ov5PoqWbuG0xg14wVpNEgKxnSvA=w1200-h800
Curug kanyere,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.4,106.0,https://www.google.com/maps/place/Curug+kanyere/data=!4m7!3m6!1s0x2e69c75ef85387fb:0xd554c7bd1573ed15!8m2!3d-6.6201226!4d106.9097177!16s%2Fg%2F11rfscphh7!19sChIJ-4dT-F7HaS4RFe1zFb3HVNU?authuser=0&hl=id&rclk=1,-6.6201226,106.9097177,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyFfjdUsDJe5WtXRFQkQhrqQBLXCRKK90tc4_iqGvxsSfWcSNvfJeJ9M5az5Rytq4pIKQHNIvCsYd7A-eRRSHnCvzz0Zow_MJrqN1KD61PHi8TnB0GXqxJmNa4my58-bq7KoU_w-g=w1200-h800
Hutan Hujan Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.7,344.0,https://www.google.com/maps/place/Hutan+Hujan+Sentul/data=!4m7!3m6!1s0x2e69b99106288ee3:0xa1a1a08723a58c1a!8m2!3d-6.5792586!4d106.9277932!16s%2Fg%2F11rc46fdmy!19sChIJ444oBpG5aS4RGoylI4egoaE?authuser=0&hl=id&rclk=1,-6.5792586,106.9277932,https://lh3.googleusercontent.com/p/AF1QipPOHMN2IFgaLqtNup0g_RyJw1AgdjGU3jbZxg7D=w1200-h800
Guide Trekking Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,5.0,170.0,https://www.google.com/maps/place/Guide+Trekking+Sentul/data=!4m7!3m6!1s0x2e69b9ef42651717:0x1150d572651eef29!8m2!3d-6.5750923!4d106.8923905!16s%2Fg%2F11lc864x8g!19sChIJFxdlQu-5aS4RKe8eZXLVUBE?authuser=0&hl=id&rclk=1,-6.5750923,106.8923905,https://images.unsplash.com/photo-1506744038136-46273834288b?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
sentul eco edu tourism forest,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,318.0,https://www.google.com/maps/place/sentul+eco+edu+tourism+forest/data=!4m7!3m6!1s0x2e69b94cb04ae973:0xf5158b999cd05369!8m2!3d-6.5724577!4d106.9129037!16s%2Fg%2F11fmpxsyt4!19sChIJc-lKsEy5aS4RaVPQnJmLFfU?authuser=0&hl=id&rclk=1,-6.5724577,106.9129037,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxxMpER3mdzl11OKpY1Z0um4PefllJ9ok7m-j7HXTjH0nFdFUbsLodV01i0plkhT6-OLRkkuXPXbCgD-KzwlwTGlR8xGYEEppQnqxmMDte-0fw0bwGKLBZMVspMPLVadwlt9p0elw=w1200-h800
Bukit Cinta Bogor,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.3,602.0,https://www.google.com/maps/place/Bukit+Cinta+Bogor/data=!4m7!3m6!1s0x2e69b8e4bc12e9ab:0x195127c48ee3864!8m2!3d-6.5705191!4d106.952548!16s%2Fg%2F11fxvcbbr8!19sChIJq-kSvOS4aS4RZDjuSHwSlQE?authuser=0&hl=id&rclk=1,-6.5705191,106.952548,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwuetQlgYOhTyNXfRt7sAK1TfBGbRwnYxhmlRps2YEC-3MG0hpGA8husXUinPZ4Zd0Tlln1Iabwhphx_ruJUwEF2tULTuyTMo2ESERghbMmIUDHpEGszGIQzhmEZJMbARDLDru_NA=w1200-h800
"Trekking Sentul - Private Camping, Hiking & Trekking Bogor",Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.8,329.0,"https://www.google.com/maps/place/Trekking+Sentul+-+Private+Camping,+Hiking+%26+Trekking+Bogor/data=!4m7!3m6!1s0x2e69c7d027c409f7:0x98394f37ea70c074!8m2!3d-6.5749253!4d106.8925279!16s%2Fg%2F11hyt6tqpd!19sChIJ9wnEJ9DHaS4RdMBw6jdPOZg?authuser=0&hl=id&rclk=1",-6.5749253,106.8925279,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwZufUntwULJ4WfmL-8E5SPG9LsY_7aolgrJwnesZW8t07wDXZ2fs1ipdG35Wd3pPhn_oSIteM85nJ8PN1wGxkZjoh_5MI2ezv3Fah9WnhlXdD75xINHjU0cUQ3LGMt3h3r_b8g_Q=w1200-h800
Treking sentull,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.3,10306.0,https://www.google.com/maps/place/Treking+sentull/data=!4m7!3m6!1s0x2e69b8538fd00129:0xfa8b547834f0ac2c!8m2!3d-6.5893251!4d106.9546789!16s%2Fg%2F11cm02mrhj!19sChIJKQHQj1O4aS4RLKzwNHhUi_o?authuser=0&hl=id&rclk=1,-6.5893251,106.9546789,https://lh3.googleusercontent.com/p/AF1QipPXOJXzbNRY9Ky08xi8-F1jr2hMoOT4HHJOx22d=w1200-h800
